loss,mean_absolute_percentage_error,val_loss,val_mean_absolute_percentage_error
0.02522365519379155,73620.88185606668,0.010508226474943382,238469.00476866576
0.009545527221413993,53514.99626734433,0.009576687148764997,169362.51836032426
0.008632972299484377,42306.7903227296,0.008852788127460792,138101.7783628037
0.007857314781491029,30668.89269280075,0.008868343373976054,74173.64477884739
0.0070053170183199944,42113.81578567039,0.009374106513542197,294863.38801980694
0.006240874042324091,23318.04870505097,0.006124520105738336,242514.13418930172
0.005339412015941689,31379.630888440148,0.004971481690896737,108112.60082536124
0.005132647585692042,25916.83065148305,0.005185221273997909,182195.3986250478
0.0047105515993879,27993.02036660715,0.004366108020025385,122101.08143912857
0.004321697717500945,32444.797965778158,0.004226533080760035,172076.37602847768
0.004349347975294468,24520.24718332892,0.005253432264699957,187080.28605563598
0.0041864828051273095,25648.162626990368,0.004277213221621774,161878.73544697897
0.004009812130576979,27641.168055071816,0.00380613546756247,178021.71105750115
0.003806494697012891,24446.834829937692,0.003692970052122074,171354.95492561557
0.0038403441729497607,23347.084328270346,0.003935343588302559,69379.46283068326
0.0036476618908977106,19075.634805018537,0.0036565402695061615,86661.10069414644
0.0035707416481070096,18552.159685330666,0.0037991104511050913,153149.27900259415
0.0034897594627434927,24441.36833787149,0.003776501365614083,63706.54068291769
0.003446302196200369,40333.268740480584,0.0036488213046073224,72264.8758500989
0.0033017442842977027,24300.020833340142,0.0033766263030507726,148539.17168092114
0.00331629827498632,27167.63702751315,0.003466648982172224,154955.36147959495
0.003221351769231891,26700.987207174527,0.0036315627307523337,91115.5339442795
0.0031387134659403965,25350.186965197805,0.0033901392944291195,156917.01835831394
0.0032140694405504706,30981.07663282957,0.003179558861047834,125465.53836892135
0.0031644802739433315,28763.559102510615,0.0035560653002688464,80798.14095898705
0.003062544400977381,27659.5038031774,0.003308235297151925,161383.84511426912
0.0030963625474754028,20439.45335005421,0.0032070315500438828,118511.18238245122
0.003041186123139272,30199.02769576535,0.0032203293221124032,73140.63638028143
0.0029809454658652765,18523.30624801377,0.0032591698391980714,102858.66736202681
0.003019618241937231,32801.203304493276,0.003072724832044699,129641.4039687522
0.002950939896437576,24298.160738659357,0.003089926653280663,74460.68371912508
0.0029324334850376944,20684.316731643677,0.003088290872564659,98491.24219320733
