val_loss,val_mean_absolute_percentage_error,loss,mean_absolute_percentage_error
0.008270960647998185,1725011.89699073,0.028029762988173685,2030790.8138972437
0.004519456236398426,2108574.7696679872,0.016585413929681447,1388340.9681363218
0.009491290742981023,1471114.867352637,0.013782874312858249,1188345.7052917036
0.005237334086720286,1599224.0649769618,0.012691589462202649,1201772.9000988451
0.003181495491800637,1933835.6953881232,0.011821534397990205,1158930.7807630938
0.003956872414283712,1996789.1332896857,0.01066733545861965,1151963.9137704538
0.0039475502574752115,1629337.8374805648,0.009581449614881082,1243450.8320578197
0.005113651246988568,2029598.1253042156,0.009440466978175695,1117512.91545207
0.003993857773984301,1583424.3173615949,0.00799376857575289,1145528.019600092
0.00415400087126884,1952975.2398261235,0.007431363177940596,1066069.3724394066
0.00277916861954948,1724315.3090730142,0.006956511664442545,1077269.726283029
0.005330510896726929,1513075.6148769641,0.006560918035765373,1133776.409441593
0.003234886554679994,1672870.6180960294,0.005988965785607349,1119453.9325973599
0.003689131730011311,1958940.0113382866,0.005667880708135144,1161612.63052122
0.004565026701010506,2010847.984252956,0.0052496385814752,1144188.3793563843
0.002920266313092976,1672758.304032352,0.004857984566411307,1152054.7201284142
0.0026828753007254722,1827707.6979543094,0.004684581361754343,1148454.0768775053
0.0025110939132242365,1812071.3658507841,0.004451324491826601,1127828.9427086585
0.003173522704184569,1645476.600962744,0.0042319063714510476,1151600.4648961576
0.0033364929146422395,1640539.8524011874,0.004067119763254426,1181383.3834746827
0.004748792421265409,1553071.3818500584,0.003866661004288945,1145511.1227504597
0.0035409587226679614,1962153.907217756,0.003869730732836869,1142381.2500024175
0.0034565764045792406,1640578.783444957,0.003599900722525321,1168699.8928349074
0.0025738290767988252,1850714.7495692943,0.003629958814789736,1145130.8075305363
0.0024794120759028815,1793579.3267846864,0.0035254226288173435,1173043.8902231038
0.002519775938306903,1823629.8064881621,0.0034794666679835943,1133915.0717637928
0.002557111069046218,1781189.39710548,0.0034088717806044708,1142431.0269708412
0.0029621398863222065,1693506.4109789224,0.003344850051541661,1101344.4283475876
0.0031143664366340843,1662283.2064420306,0.003387895588719741,1157130.238262997
0.0028566723978468056,1847527.6360702645,0.003287885078164034,1121496.3799040595
0.002463090432615116,1742630.7734577574,0.0032284355283779807,1127982.5941778228
0.0028558539676255194,1913973.3729985533,0.003317003300803345,1150810.453300853
0.0025261928279209753,1843465.6603074567,0.0032518353194084973,1158446.5251101116
0.0028670491586471427,1888877.2324066886,0.003123237109786376,1118814.648845362
0.00251001152852229,1783599.8108036437,0.0032293967615683065,1179636.9528850734
0.003604201762134145,1944727.7407018794,0.003195786821590953,1154840.4067459772
